,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
4812,6522,78,3737,2707,262,2,72
4813,13296,21,7728,5547,481,1,318
4814,57563,781,12161,44621,2423,35,571
4815,45981,253,21162,24566,865,5,991
4816,58767,9548,16048,33171,82,26,89
4817,12245,415,1658,10172,607,15,151
4818,2594,159,1951,484,43,2,12
4819,614941,34021,254963,325957,30925,1473,16346
4820,2585,147,1322,1116,25,1,116
4821,6789,203,3705,2881,204,3,29
4822,142154,1356,95631,45167,4664,81,4883
4823,35120,1087,12319,21714,1766,42,1148
4824,3644,78,495,3071,149,3,3
4825,9494,326,6809,2359,56,1,60
4826,11998,582,10807,609,40,2,68
4827,18319,520,11474,6325,279,4,250
4828,29767,1126,7756,20885,1152,38,406
4829,2781,52,1214,1515,76,1,28
4830,1636,18,250,1368,150,1,4
4831,189701,29068,70094,90539,767,44,521
4832,2955,21,818,2116,53,1,17
4833,184472,8635,167909,7928,351,33,456
4834,6154,158,979,5017,394,15,50
4835,5880,243,648,4989,190,9,31
4836,3954,539,2205,1210,23,5,15
4837,226713,6363,108450,111900,9889,275,4379
4838,28818,1721,8892,18205,585,23,486
4839,164270,8071,127485,28714,3574,59,2279
4840,8840,271,4338,4231,672,15,243
4841,234013,33689,161895,38429,177,88,957
4842,16911,911,14785,1215,44,6,83
4843,2340,78,592,1670,124,4,39
4844,29921,236,17223,12462,562,6,1473
4845,1306,28,731,547,50,1,7
4846,957,7,200,750,49,1,5
4847,1461,85,806,570,75,6,18
4848,784,39,65,680,39,5,8
4849,105680,12545,74758,18377,4442,816,2078
4850,9018,315,5009,3694,223,5,146
4851,8003,208,7195,600,81,2,329
4852,2634,10,290,2334,334,1,12
4853,11516,323,3535,7658,350,8,206
4854,2611,147,1621,843,119,2,16
4855,8504,238,8138,128,27,1,411
4856,89249,1838,31198,56213,3985,68,1070
4857,15044,363,9619,5062,435,6,100
4858,183198,5031,76228,101939,4284,137,3909
4859,20382,984,4248,15150,634,10,95
4860,25048,1117,12227,11704,361,2,213
4861,33592,1455,20323,11814,331,8,244
4862,19907,1305,13919,4683,238,9,119
4863,440538,5376,204197,230965,8823,168,8638
4864,93157,611,68965,23581,1975,32,806
4865,11571,246,6910,4415,48,1,58
4866,40792,848,21311,18633,3267,56,1629
4867,5714,333,1825,3556,215,19,114
4868,167410,4630,131778,31002,988,21,926
4869,1878683,109168,485002,1284513,21351,1009,5744
4870,25981,755,11468,13758,596,13,630
4871,37018,273,19572,17173,659,3,419
4872,263040,40072,1219,221749,1238,177,7
4873,18969,309,1762,16898,915,9,177
4874,9935,690,6453,2792,104,9,156
4875,21037,632,6088,14317,840,24,95
4876,11817,183,3513,8121,596,7,45
4877,16843,672,15742,429,38,2,25
4878,6860,82,3871,2907,338,4,134
4879,13835,22,8585,5228,539,1,857
4880,60391,811,12804,46776,2828,30,643
4881,46868,259,22066,24543,887,6,904
4882,58907,9566,16112,33229,140,18,64
4883,12728,427,1739,10562,483,12,81
4884,645771,35026,266940,343805,30830,1005,11977
4885,2627,159,1390,1078,42,12,68
4886,7392,205,4575,2612,603,2,870
4887,836,68,657,111,8,2,24
4888,146361,1448,99358,45555,4207,92,3727
4889,36635,1145,13670,21820,1515,58,1351
4890,3764,81,512,3171,120,3,17
4891,3431,36,1604,1791,169,1,20
4892,9529,327,6881,2321,35,1,72
4893,12062,586,10840,636,64,4,33
4894,18708,525,11736,6447,389,5,262
4895,41575,3534,20568,17473,609,48,549
4896,31115,1166,8158,21791,1348,40,402
4897,2849,53,1249,1547,68,1,35
4898,1805,19,262,1524,169,1,12
4899,190312,29114,70622,90576,611,46,528
4900,184924,8658,168480,7786,452,23,571
4901,9168,42,3457,5669,283,4,268
4902,6485,216,1053,5216,331,58,74
4903,1368,12,153,1203,29,4,100
4904,5971,248,677,5046,91,5,29
4905,3970,542,2245,1183,16,3,40
4906,236184,6649,113233,116302,9471,286,4783
4907,29521,1770,9443,18308,703,49,551
4908,167156,8134,129741,29281,2886,63,2256
4909,9846,285,4573,4988,1006,14,235
4910,234531,33774,163781,36976,518,85,1886
4911,16958,916,14925,1117,47,5,140
4912,2474,79,643,1752,134,1,51
4913,30644,244,18277,12123,723,8,1054
4914,1936,22,1340,574,37,2,48
4915,334,30,176,128,13,2,1
4916,8266,116,6610,1540,19,1,51
4917,1485,87,816,582,24,2,10
4918,883,43,69,771,99,4,4
4919,110026,13170,77841,19015,4346,625,3083
4920,9247,323,5240,3684,229,8,231
4921,2912,11,333,2568,278,1,43
4922,47351,6024,174,41153,210,15,1
4923,11844,333,3696,7815,328,10,161
4924,2790,149,1632,1009,179,2,11
4925,93983,1935,32581,59467,4734,97,1383
4926,15463,370,9719,5374,419,7,100
4927,187400,5162,79214,103024,4202,131,2986
4928,20626,987,4330,15309,244,3,82
4929,25410,1137,12410,11863,362,20,183
4930,33969,1465,20526,11978,377,10,203
4931,65495,49,40935,24511,1754,4,1467
4932,20103,1316,14145,4642,196,11,226
4933,449256,5520,212237,231499,8718,144,8040
4934,95748,642,70616,24490,2591,31,1651
4935,11667,247,6931,4489,96,1,21
4936,43434,908,23088,19438,2642,60,1777
4937,5865,347,1924,3594,151,14,99
4938,168340,4648,133400,30292,930,18,1622
4939,1903907,110138,491706,1302063,25224,970,6704
4940,26542,770,11815,13957,561,15,347
4941,37642,274,20337,17031,624,1,765
4942,264150,40430,1228,222492,1110,358,9
4943,469,111,23,335,16,8,6
4944,19551,327,1830,17394,582,18,68
4945,1232,34,925,273,20,1,15
4946,10050,698,6631,2721,115,8,178
4947,22020,648,6180,15192,983,16,92
4948,12364,190,3720,8454,547,7,207
4949,7239,84,4024,3131,379,2,153
4950,14383,24,9056,5303,548,2,471
4951,63026,846,13325,48855,2635,35,521
4952,47751,263,23015,24473,883,4,949
4953,59072,9580,16190,33302,165,14,78
4954,13358,454,1902,11002,630,27,163
4955,672846,35930,277149,359767,27075,904,10209
4956,2711,160,1545,1006,84,1,155
4957,7599,212,4587,2800,207,7,12
4958,1570,5,37,1528,119,1,8
4959,160351,1541,103817,54993,13990,93,4459
4960,683,22,210,451,48,2,28
4961,3878,82,537,3259,114,1,25
4962,12111,587,10908,616,49,1,68
4963,19195,536,11919,6740,487,11,183
4964,42728,3608,21020,18100,1153,74,452
4965,32612,1198,8538,22876,1497,32,380
4966,1934,20,281,1633,129,1,19
4967,190891,29145,70924,90822,579,31,302
4968,185450,8673,168958,7819,526,15,478
4969,9462,44,3547,5871,294,2,90
4970,6792,230,1133,5429,307,14,80
4971,6155,250,697,5208,184,2,20
4972,3990,545,2279,1166,20,3,34
4973,246622,6946,118695,120981,10438,297,5462
4974,30514,1801,9907,18806,993,31,464
4975,169425,8209,132038,29178,2269,75,2297
4976,11098,318,4904,5876,1252,33,331
4977,17752,295,15042,2415,190,4,16
4978,234801,33846,165078,35877,270,72,1297
4979,17000,915,14927,1158,42,-1,2
4980,12511,53,7135,5323,199,1,232
4981,2600,83,706,1811,126,4,63
4982,31131,254,19282,11595,487,10,1005
4983,1026,8,212,806,51,1,11
4984,8303,117,6635,1551,37,1,25
4985,1901,8,763,1130,18,1,46
4986,1523,90,845,588,38,3,29
4987,947,49,104,794,64,6,35
4988,113619,13511,80830,19278,3593,341,2989
4989,9511,331,5450,3730,264,8,210
4990,3235,13,365,2857,323,2,32
4991,12233,342,3826,8065,389,9,130
4992,2915,151,1640,1124,125,2,8
4993,98943,2002,33465,63476,4960,67,884
4994,16004,386,10118,5500,541,16,399
4995,191758,5301,82731,103726,4358,139,3517
4996,21340,994,4441,15905,714,7,111
4997,25986,1153,12641,12192,576,16,231
4998,34351,1474,20807,12070,382,9,281
4999,67195,51,42527,24617,1700,2,1592
5000,20290,1322,14419,4549,187,6,274
5001,458102,5717,220935,231450,8846,197,8698
5002,98869,676,71791,26402,3121,34,1175
5003,4249,47,2512,1690,94,2,236
5004,11741,248,11056,437,74,1,4125
5005,946,48,600,298,17,1,20
5006,37527,25,24559,12943,344,1,350
5007,2289,82,431,1776,85,3,13
5008,45973,952,24258,20763,2539,44,1170
5009,6081,359,2014,3708,216,12,90
5010,169218,4669,135322,29227,878,21,1922
5011,1926639,110818,500849,1314972,22732,680,9143
5012,27101,785,12265,14051,559,15,450
5013,38268,275,21061,16932,626,1,724
5014,264944,40637,1230,223077,794,207,2
5015,4094,17,3268,809,87,1,21
5016,2316,22,385,1909,171,2,51
5017,20342,357,1875,18110,791,30,45
5018,10154,707,6717,2730,104,9,86
5019,22794,664,6909,15221,774,16,729
5020,13130,200,4014,8916,766,10,294
5021,7553,88,4149,3316,314,4,125
5022,14763,26,9468,5269,380,2,412
5023,65769,888,13903,50978,2743,42,578
5024,48630,269,23647,24714,879,6,632
5025,59226,9595,16291,33340,154,15,101
5026,13643,465,2086,11092,285,11,184
5027,691758,36455,283952,371351,18912,525,6803
5028,166756,1637,108150,56969,6405,96,4333
5029,39236,1259,14414,23563,1209,54,744
5030,12135,589,10942,604,24,2,34
5031,4207,28,1877,2302,38,2,62
5032,19600,538,12007,7055,405,2,88
5033,34079,1237,8961,23881,1467,39,423
5034,2020,27,344,1649,86,7,63
5035,191234,29158,70961,91115,343,13,37
5036,185750,8685,169224,7841,300,12,266
5037,7055,252,1261,5542,263,22,128
5038,6327,258,712,5357,172,8,15
5039,257486,7207,123848,126431,10864,261,5153
5040,31186,1851,10498,18837,672,50,591
5041,171789,8281,134349,29159,2364,72,2311
5042,12366,346,5186,6834,1268,28,282
5043,17863,298,15091,2474,111,3,49
5044,234998,33899,165837,35262,197,53,759
5045,17039,917,14990,1132,39,2,63
5046,12694,56,7376,5262,183,3,241
5047,2767,84,752,1931,167,1,46
5048,31848,264,20205,11379,717,10,923
5049,1052,9,233,810,26,1,21
5050,1049,55,108,886,102,6,4
5051,117103,13699,83775,19629,3484,188,2945
5052,9700,341,5638,3721,189,10,188
5053,12486,354,3959,8173,253,12,133
5054,3025,153,1646,1226,110,2,6
5055,103671,2067,34355,67249,4728,65,890
5056,16425,393,10218,5814,421,7,100
5057,196515,5465,86219,104831,4757,164,3488
5058,21895,1003,4530,16362,555,9,89
5059,26561,1157,12855,12549,575,4,214
5060,34693,1479,20995,12219,342,5,188
5061,68790,54,44338,24398,1595,3,1811
5062,20479,1333,14638,4508,189,11,219
5063,467073,5851,226272,234950,8971,134,5337
5064,101914,712,72817,28385,3045,36,1026
5065,4328,49,2588,1691,79,2,76
5066,11823,249,11348,226,82,1,292
5067,2334,83,441,1810,45,1,10
5068,48285,998,24364,22923,2312,46,106
5069,170132,4692,137969,27471,914,23,2647
5070,1944370,111269,506367,1326734,17731,451,5518
5071,27599,796,12513,14290,498,11,248
5072,38808,276,21806,16726,540,1,745
5073,265662,40714,1239,223709,718,77,9
5074,20917,369,2171,18377,575,12,296
5075,10265,715,6799,2751,111,8,82
5076,23620,693,7305,15622,826,29,396
5077,13325,211,4099,9015,195,11,85
5078,7876,93,4377,3406,323,5,228
5079,15417,27,10326,5064,654,1,858
5080,68504,930,14560,53014,2735,42,657
5081,49453,276,23880,25297,823,7,233
5082,59348,9606,16315,33427,122,11,24
5083,288,4,186,98,27,1,35
5084,13949,475,2159,11315,306,10,73
5085,2704,160,2023,521,98,1,55
5086,707412,37134,378257,292021,15654,679,94305
5087,2810,164,1587,1059,83,4,39
5088,839,70,685,84,2,1,13
5089,171452,2264,112248,56940,4696,627,4098
5090,40719,1308,16459,22952,1483,49,2045
5091,1342,11,712,619,24,1,8
5092,3881,38,1869,1974,142,2,51
5093,9697,328,6994,2375,69,1,103
5094,12149,593,10979,577,14,4,37
5095,4278,31,2013,2234,71,3,136
5096,20126,539,12158,7429,526,1,151
5097,35444,1271,9375,24798,1365,34,414
5098,3104,56,1379,1669,89,3,74
5099,191445,29212,71182,91051,211,54,221
5100,186109,8695,169556,7858,359,10,332
5101,9910,48,3645,6217,272,4,9
5102,7502,267,1323,5912,447,15,62
5103,6450,262,740,5448,123,4,28
5104,4014,548,2284,1182,6,2,5
5105,265928,7473,129095,129360,8442,266,5247
